scenario_id,base_scenario_id,family,controller,collision_under_replay,intervened,comfort_exceed,peak_decel_mps2,brake_duration_s,min_residual_gap_m,peak_delayed_cmd,weight_freq
ngsim_1_3355_0_u0,ngsim_1_3355_0,slower_lead,pi,False,False,False,0.0,0.0,5.132500987199838,0.0,0.3333333333333333
ngsim_1_3355_0_u1,ngsim_1_3355_0,slower_lead,pi,False,False,False,0.0,0.0,5.132500987199838,0.0,0.3333333333333333
ngsim_1_3355_0_u2,ngsim_1_3355_0,slower_lead,pi,False,False,False,0.0,0.0,5.132500987199838,0.0,0.3333333333333333
ngsim_3_9_4_u0,ngsim_3_9_4,slower_lead,pi,False,False,False,0.0,0.0,6.655308000000101,0.0,0.3333333333333333
ngsim_3_9_4_u1,ngsim_3_9_4,slower_lead,pi,False,False,False,0.0,0.0,6.655308000000101,0.0,0.3333333333333333
ngsim_3_9_4_u2,ngsim_3_9_4,slower_lead,pi,False,False,False,0.0,0.0,6.655308000000101,0.0,0.3333333333333333
ngsim_7_5_18_u0,ngsim_7_5_18,slower_lead,pi,False,False,False,0.0,0.0,6.701145043199994,0.0,0.3333333333333333
ngsim_7_5_18_u1,ngsim_7_5_18,slower_lead,pi,False,False,False,0.0,0.0,6.701145043199994,0.0,0.3333333333333333
ngsim_7_5_18_u2,ngsim_7_5_18,slower_lead,pi,False,False,False,0.0,0.0,6.701145043199994,0.0,0.3333333333333333
ngsim_8_3_20_u0,ngsim_8_3_20,slower_lead,pi,False,False,False,0.0,0.0,11.14491263520013,0.0,0.3333333333333333
ngsim_8_3_20_u1,ngsim_8_3_20,slower_lead,pi,False,False,False,0.0,0.0,11.14491263520013,0.0,0.3333333333333333
ngsim_8_3_20_u2,ngsim_8_3_20,slower_lead,pi,False,False,False,0.0,0.0,11.14491263520013,0.0,0.3333333333333333
ngsim_9_4_25_u0,ngsim_9_4_25,slower_lead,pi,False,False,False,0.0,0.0,6.319830489600196,0.0,0.3333333333333333
ngsim_9_4_25_u1,ngsim_9_4_25,slower_lead,pi,False,False,False,0.0,0.0,6.319830489600196,0.0,0.3333333333333333
ngsim_9_4_25_u2,ngsim_9_4_25,slower_lead,pi,False,False,False,0.0,0.0,6.319830489600196,0.0,0.3333333333333333
ngsim_11_1_50_u0,ngsim_11_1_50,slower_lead,pi,False,False,False,0.0,0.0,4.886026905599999,0.0,0.3333333333333333
ngsim_11_1_50_u1,ngsim_11_1_50,slower_lead,pi,False,False,False,0.0,0.0,4.886026905599999,0.0,0.3333333333333333
ngsim_11_1_50_u2,ngsim_11_1_50,slower_lead,pi,False,False,False,0.0,0.0,4.886026905599999,0.0,0.3333333333333333
ngsim_12_6_60_u0,ngsim_12_6_60,slower_lead,pi,False,False,False,0.0,0.0,4.845427545600106,0.0,0.3333333333333333
ngsim_12_6_60_u1,ngsim_12_6_60,slower_lead,pi,False,False,False,0.0,0.0,4.845427545600106,0.0,0.3333333333333333
ngsim_12_6_60_u2,ngsim_12_6_60,slower_lead,pi,False,False,False,0.0,0.0,4.845427545600106,0.0,0.3333333333333333
ngsim_12_17_63_u0,ngsim_12_17_63,slower_lead,pi,False,False,False,0.0,0.0,8.666115662399642,0.0,0.3333333333333333
ngsim_12_17_63_u1,ngsim_12_17_63,slower_lead,pi,False,False,False,0.0,0.0,8.666115662399642,0.0,0.3333333333333333
ngsim_12_17_63_u2,ngsim_12_17_63,slower_lead,pi,False,False,False,0.0,0.0,8.666115662399642,0.0,0.3333333333333333
ngsim_13_7_77_u0,ngsim_13_7_77,slower_lead,pi,False,False,False,0.0,0.0,7.062801216000025,0.0,0.3333333333333333
ngsim_13_7_77_u1,ngsim_13_7_77,slower_lead,pi,False,False,False,0.0,0.0,7.062801216000025,0.0,0.3333333333333333
ngsim_13_7_77_u2,ngsim_13_7_77,slower_lead,pi,False,False,False,0.0,0.0,7.062801216000025,0.0,0.3333333333333333
ngsim_13_15_81_u0,ngsim_13_15_81,stationary_lead,pi,False,False,False,0.0,0.0,3.98196352,0.0,0.3333333333333333
ngsim_13_15_81_u1,ngsim_13_15_81,stationary_lead,pi,False,False,False,0.0,0.0,3.98196352,0.0,0.3333333333333333
ngsim_13_15_81_u2,ngsim_13_15_81,stationary_lead,pi,False,False,False,0.0,0.0,3.98196352,0.0,0.3333333333333333
ngsim_13_15_83_u0,ngsim_13_15_83,slower_lead,pi,False,False,False,0.0,0.0,5.643128160000008,0.0,0.3333333333333333
ngsim_13_15_83_u1,ngsim_13_15_83,slower_lead,pi,False,False,False,0.0,0.0,5.643128160000008,0.0,0.3333333333333333
ngsim_13_15_83_u2,ngsim_13_15_83,slower_lead,pi,False,False,False,0.0,0.0,5.643128160000008,0.0,0.3333333333333333
ngsim_13_15_87_u0,ngsim_13_15_87,slower_lead,pi,False,False,False,0.0,0.0,6.646773600000082,0.0,0.3333333333333333
ngsim_13_15_87_u1,ngsim_13_15_87,slower_lead,pi,False,False,False,0.0,0.0,6.646773600000082,0.0,0.3333333333333333
ngsim_13_15_87_u2,ngsim_13_15_87,slower_lead,pi,False,False,False,0.0,0.0,6.646773600000082,0.0,0.3333333333333333
ngsim_22_12_118_u0,ngsim_22_12_118,slower_lead,pi,False,False,False,0.0,0.0,6.899286988799951,0.0,0.3333333333333333
ngsim_22_12_118_u1,ngsim_22_12_118,slower_lead,pi,False,False,False,0.0,0.0,6.899286988799951,0.0,0.3333333333333333
ngsim_22_12_118_u2,ngsim_22_12_118,slower_lead,pi,False,False,False,0.0,0.0,6.899286988799951,0.0,0.3333333333333333
ngsim_22_12_120_u0,ngsim_22_12_120,slower_lead,pi,False,False,False,0.0,0.0,3.273395942399998,0.0,0.3333333333333333
ngsim_22_12_120_u1,ngsim_22_12_120,slower_lead,pi,False,False,False,0.0,0.0,3.273395942399998,0.0,0.3333333333333333
ngsim_22_12_120_u2,ngsim_22_12_120,slower_lead,pi,False,False,False,0.0,0.0,3.273395942399998,0.0,0.3333333333333333
ngsim_23_26_135_u0,ngsim_23_26_135,slower_lead,pi,False,False,False,0.0,0.0,5.745764799999998,0.0,0.3333333333333333
ngsim_23_26_135_u1,ngsim_23_26_135,slower_lead,pi,False,False,False,0.0,0.0,5.745764799999998,0.0,0.3333333333333333
ngsim_23_26_135_u2,ngsim_23_26_135,slower_lead,pi,False,False,False,0.0,0.0,5.745764799999998,0.0,0.3333333333333333
ngsim_23_26_141_u0,ngsim_23_26_141,slower_lead,pi,False,False,False,0.0,0.0,3.3910267968000065,0.0,0.3333333333333333
ngsim_23_26_141_u1,ngsim_23_26_141,slower_lead,pi,False,False,False,0.0,0.0,3.3910267968000065,0.0,0.3333333333333333
ngsim_23_26_141_u2,ngsim_23_26_141,slower_lead,pi,False,False,False,0.0,0.0,3.3910267968000065,0.0,0.3333333333333333
ngsim_23_26_142_u0,ngsim_23_26_142,slower_lead,pi,False,False,False,0.0,0.0,2.740773792000001,0.0,0.3333333333333333
ngsim_23_26_142_u1,ngsim_23_26_142,slower_lead,pi,False,False,False,0.0,0.0,2.740773792000001,0.0,0.3333333333333333
ngsim_23_26_142_u2,ngsim_23_26_142,slower_lead,pi,False,False,False,0.0,0.0,2.740773792000001,0.0,0.3333333333333333
ngsim_24_11_150_u0,ngsim_24_11_150,slower_lead,pi,False,False,False,0.0,0.0,5.763399801599451,0.0,0.3333333333333333
ngsim_24_11_150_u1,ngsim_24_11_150,slower_lead,pi,False,False,False,0.0,0.0,5.763399801599451,0.0,0.3333333333333333
ngsim_24_11_150_u2,ngsim_24_11_150,slower_lead,pi,False,False,False,0.0,0.0,5.763399801599451,0.0,0.3333333333333333
ngsim_24_11_151_u0,ngsim_24_11_151,slower_lead,pi,False,False,False,0.0,0.0,6.995165486400014,0.0,0.3333333333333333
ngsim_24_11_151_u1,ngsim_24_11_151,slower_lead,pi,False,False,False,0.0,0.0,6.995165486400014,0.0,0.3333333333333333
